"Name","State","Notes","User","Tags","Created","Runtime","Sweep","C","classifier","degree_pol","descriptor","fisher","fisher_vector","kernel","level_pyramid","n_components","n_features","n_folds","n_words","scaler","step_size","algorithm","leaf_size","n_neighbors","p","AUC","accuracy","average_f1","average_precision","average_recall"
"warm-sweep-14","finished","-","luisgogu2001","","2023-12-28T14:48:00.000Z","5895","hny0a3ht","0.1","svm","5","akaze","true","","precomputed","3","31","1024","5","505","false","","","","","","0.7165421487281175","0.23444325300524865","0.2507773371590954","0.26914447480114284","0.23568786829546848"
"quiet-sweep-4","finished","-","luisgogu2001","","2023-12-29T08:31:29.000Z","805","mvg8t7z3","0.01","logistic","","dense_sift","true","","","1","47","1024","5","508","true","40","","","","","0.941835807052526","0.7193140132061628","0.7245531655109424","0.7263539004717089","0.7228007161784236"
"morning-sweep-6","finished","-","luisgogu2001","","2023-12-29T08:45:56.000Z","599","mvg8t7z3","0.1","logistic","","dense_sift","true","","","1","37","1024","5","510","false","47","","","","","0.940379256253256","0.6810373045882951","0.6887676639425567","0.6927377439409295","0.6848783825430699"
"gentle-sweep-3","finished","-","bycarkos","","2023-12-28T19:43:28.000Z","137","","","knn","","dense_sift","false","","","2","98","1024","5","644","false","14","kd_tree","11","1","2","0.6776914208315529","0.4359599864552175","0.4385334512010612","0.4393544162932709","0.4377191826686958"
"trim-sweep-5","finished","-","bycarkos","","2023-12-28T19:48:30.000Z","186","","","knn","","dense_sift","false","","","2","124","1024","5","766","false","10","kd_tree","10","3","2","0.7343498531010126","0.3949827868389864","0.4001949430068959","0.4140490806809651","0.3872649186695389"
"eager-sweep-11","finished","-","bycarkos","","2023-12-28T22:17:23.000Z","21","","","knn","","dense_sift","false","","","3","106","1024","5","774","true","13","kd_tree","11","1","2","","","","",""
"firm-sweep-1","finished","-","bycarkos","","2023-12-28T19:29:40.000Z","406","","","knn","","dense_sift","true","","","2","92","1024","5","782","true","14","kd_tree","13","5","2","","","","",""
"upbeat-sweep-10","finished","-","bycarkos","","2023-12-28T20:47:33.000Z","138","","","knn","","dense_sift","false","","","2","96","1024","5","852","false","16","kd_tree","11","3","2","0.7796056940702882","0.46039985326485694","0.4739113383060152","0.4906368720222966","0.4583979108470506"
"summer-sweep-6","finished","-","bycarkos","","2023-12-28T19:53:57.000Z","177","","","knn","","dense_sift","false","","","2","104","1024","5","865","true","14","kd_tree","11","1","2","0.6755573113606863","0.4322252948812009","0.42935684303424504","0.42851481411928766","0.4303388463857497"
"hearty-sweep-8","finished","-","bycarkos","","2023-12-28T19:59:51.000Z","127","","","knn","","dense_sift","false","","","2","83","1024","5","885","true","16","kd_tree","19","5","2","0.764541947156456","0.41202945990180034","0.4118564864718307","0.4159611816268269","0.407933069552785"
"divine-sweep-1","finished","-","bycarkos","","2023-12-28T22:18:12.000Z","289","","","knn","","dense_sift","false","","","1","406","1024","5","916","true","6","kd_tree","18","5","2","0.699741481147454","0.3375754839437891","0.3399190187255722","0.34199658739831146","0.33794245630456904"
"dutiful-sweep-9","finished","-","bycarkos","","2023-12-28T20:44:16.000Z","192","","","knn","","dense_sift","false","","","3","94","1024","5","968","true","16","kd_tree","17","3","2","0.7197901136323962","0.3784920142220216","0.3869329672520228","0.4020104988836427","0.37320905757805994"
"pious-sweep-7","finished","-","bycarkos","","2023-12-28T19:58:14.000Z","94","","","knn","","dense_sift","false","","","1","76","1024","5","974","false","13","kd_tree","19","5","2","0.8054539671715164","0.4630636604774535","0.4729297889772727","0.48119103517019673","0.4650901424929488"
"ancient-sweep-1","finished","-","bycarkos","","2023-12-28T19:37:06.000Z","212","","","knn","","dense_sift","false","","","2","86","1024","5","1018","false","14","kd_tree","20","3","2","0.7718137141553049","0.4571815565212484","0.47151856741005693","0.48809940943579344","0.45607221692592326"
"trim-sweep-2","finished","-","bycarkos","","2023-12-29T20:44:43.000Z","50","","","knn","","dense_sift","false","","","1","61","300","5","1024","false","99","auto","","20","2","0.7999214864911872","0.39766493594446634","0.4013049490351725","0.4090992797406816","0.3940231233268815"
"hardy-sweep-2","finished","-","bycarkos","","2023-12-30T10:51:06.000Z","57","hpxexu61","","knn","","dense_sift","false","","","2","121","1024","5","1024","true","86","brute","","23","2","0.9408306289488896","0.6953538574411648","0.7064796074502968","0.7146279754196687","0.6985347266590456"
"revived-sweep-5","finished","-","bycarkos","","2023-12-29T20:47:36.000Z","54","","","knn","","dense_sift","false","","","1","110","300","5","1024","false","98","auto","","20","2","0.7456546699022315","0.350883232688075","0.35558531114043","0.3685212377999933","0.3436316299039063"
"winter-sweep-1","finished","-","bycarkos","","2023-12-29T20:43:20.000Z","78","","","knn","","dense_sift","false","","","1","330","300","5","1024","true","26","auto","","18","2","0.6778231643368857","0.27908883119814887","0.27849491492521583","0.28301984542657993","0.27431677802800664"
"comfy-sweep-8","finished","-","bycarkos","","2023-12-30T10:34:24.000Z","65","hdqbdc5c","","knn","","dense_sift","false","","","1","102","1024","5","1024","true","78","brute","","1","2","0.8195456047987231","0.6842048083977652","0.6924729771714231","0.6939233215027707","0.6910701495018815"
"lucky-sweep-9","finished","-","bycarkos","","2023-12-30T10:35:36.000Z","83","hdqbdc5c","","knn","","dense_sift","false","","","2","116","1024","5","1024","true","61","brute","","1","2","0.7925132827553958","0.6368982448219426","0.6467019092714061","0.649947374661294","0.6435056312145644"
"vivid-sweep-10","finished","-","bycarkos","","2023-12-30T10:59:00.000Z","47","hpxexu61","","knn","","dense_sift","false","","","1","84","1024","5","1024","true","67","brute","","25","2","0.9497627409345736","0.7357709238670355","0.7457186171963552","0.7495819915847068","0.7418987462035441"
